"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","createdMsia"
"@refflorescence maxis red. Guna plan apa?",FALSE,0,"refflorescence","2016-06-04 14:07:59",FALSE,739096234158215168,739096362466213888,2236758342,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sxyrim",0,FALSE,FALSE,NA,NA,"2016-06-04 22:07:59"
"padanlah plan postpaid umobile tu 6gb data internet with free call/sms bla bla only rm28/mth. tau2 guna line maxis juga. ok fine..",FALSE,0,NA,"2016-06-04 12:22:30",FALSE,NA,739069816695193600,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yoonqii93",0,FALSE,FALSE,NA,NA,"2016-06-04 20:22:30"
"ok ak tanya kat telco store tadi pasal postpaid plan, dia kata line umobile ni mcm line maxis juga. bergetar urat saraf ak <ed><U+00A0><U+00BD><ed><U+00B8><U+00A4>",FALSE,0,NA,"2016-06-04 12:20:43",FALSE,NA,739069369175539712,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yoonqii93",0,FALSE,FALSE,NA,NA,"2016-06-04 20:20:43"
"@xxxxxanfxxxxx zzzzzz. Kau still pakai maxis kan? Taknak amik fon baru, pakai plan yang dengan bill tu. Well if you can commit to the pymt",FALSE,0,"xxxxxanfxxxxx","2016-06-04 11:59:55",FALSE,739063937602199552,739064136315768832,469017383,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sytrhrsln_",0,FALSE,FALSE,NA,NA,"2016-06-04 19:59:55"
"nk tau pe yg lgi mnyedihkn dri kau xmesej ak ?

Tengh tunggu mesej kau masuk tpi maxis ngn celcom  yg hntr ckp plan dh hbis.
ugh .",FALSE,0,NA,"2016-06-04 09:08:55",FALSE,NA,739021101578129408,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kaubuta",0,FALSE,FALSE,NA,NA,"2016-06-04 17:08:55"
"Wahai maxis..kenapa line internet kau slow nak mamp sedangkan plan internet kau yang paling mahal??",FALSE,0,NA,"2016-06-04 07:48:51",FALSE,NA,739000952204591104,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","asyrafdx93",0,FALSE,FALSE,NA,NA,"2016-06-04 15:48:51"
"@JuggerWicho por que subes chingos de snaps? Eso afecta el plan de maxis? Afecta la pareh de verruh?",FALSE,0,"JuggerWicho","2016-06-04 05:23:12",FALSE,738959274705985536,738964297129164800,361046030,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoseanConAn",0,FALSE,FALSE,NA,NA,"2016-06-04 13:23:12"
"@ArinaJamal aimi pakai dua no, celcom dgn maxis. dua dua prepaid la. tp skrg rasa nak tukar postpaid plan celcom.. rm80 sebulan",FALSE,0,"ArinaJamal","2016-06-04 03:48:54",FALSE,738940249888280576,738940565497073664,271468583,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aimirosdi",0,FALSE,FALSE,NA,NA,"2016-06-04 11:48:54"
"I won't tweet maxis anymore <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> I will ask about that data available for maxis one plan <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> I asked too much today lol",FALSE,0,NA,"2016-06-15 10:42:01",FALSE,NA,743030797578293248,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","junniekahying",0,FALSE,FALSE,NA,NA,"2016-06-15 18:42:01"
"@Jung_Hadi maxis one plan. Include data. IF TAK SILAP",FALSE,0,"Jung_Hadi","2016-06-15 10:39:52",FALSE,743030117899735040,743030254801805312,288672881,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","junniekahying",0,FALSE,FALSE,NA,NA,"2016-06-15 18:39:52"
